Tipo de Peça,id_peça,Data,Speed Factor,Média Delta temp_nozzle,Desvio Padrão temp_nozzle,Máximo Delta temp_nozzle,Média Delta Mesa (°C),Desvio Padrão Delta Mesa (°C),Tempo Fora do Intervalo Extrusora (%),Taxa de Extrusão (mm/min),Tempo Ativo de Extrusão (%),Média PWM Extrusora,Desvio Padrão PWM Extrusora,Média PWM Bed,Desvio Padrão PWM Bed,Resultado
QUADRADO,1,2025-04-29 10:45:07/11:04:44,100.0,0.00040000000000099987,0.13657917472199785,0.8499999999999943,0.0015999999999997364,0.011872983699790424,0.0,43.47170773152082,100.80645161290323,68.288,3.9037120464931174,32.736,4.026412795529042,OK
L,2,2025-04-29 12:25:51/13:23:01,100.0,0.003053435114505051,0.08062393785949062,0.6100000000000136,0.0007633587786259371,0.01162098251665467,0.0,44.095976676384836,100.38314176245211,68.22519083969466,2.946335954590108,32.19847328244275,4.345993614290294,OK
RETANGULO,3,2025-05-02 10:10:26/10:43:16,100.0,-0.017964071856285384,0.5355523428708012,2.530000000000001,0.001377245508981803,0.011612009138064365,1.1976047904191618,43.644365482233496,100.60240963855422,66.77844311377245,9.767416447941985,34.293413173652695,4.385506492496508,NOK
QUADRADO,4,2025-05-06 13:59:33/14:07:02,100.0,0.0008888888888918629,0.0737262202717289,0.1299999999999954,-0.0020000000000000738,0.010574411653523972,0.0,40.22138084632517,102.27272727272727,66.42222222222222,1.6165182687279824,33.422222222222224,3.460746693528389,NOK
QUADRADO,5,2025-05-07 09:23:20/09:40:50,100.0,-0.0055855855855843455,0.04190215192314485,0.0800000000000125,-0.0009909909909911125,0.012132222681389927,0.0,43.58228571428572,100.9090909090909,68.68468468468468,2.018018749268617,33.88288288288288,3.997132469291953,OK
QUADRADO,6,2025-05-07 13:52:32/14:12:05,100.0,0.00417475728155485,0.0955328120599819,0.5600000000000023,-0.00029126213592268536,0.011585683413424468,0.0,43.53606138107417,100.98039215686273,68.63106796116504,2.8249250944854527,35.320388349514566,4.9333073506861025,OK
QUADRADO,7,2025-05-08 10:27:17/10:46:53,100.0,-0.005431034482756376,0.06732648863533643,0.2800000000000011,0.0015517241379309078,0.011002248645725023,0.0,43.41122448979591,100.8695652173913,68.76724137931035,2.4719566572135587,34.55172413793103,4.775562480116793,OK
RETANGULO,8,2025-05-12 09:03:02/09:41:27,100.0,0.0010810810810822494,0.1317891882107921,1.3199999999999932,-0.0009729729729732004,0.010940765627982215,0.0,43.92520607375271,100.54347826086956,68.94594594594595,3.39233427670216,34.02162162162162,3.797820823607351,OK
RETANGULO,9,2025-05-12 13:14:28/13:51:14,100.0,0.0025136612021869195,0.04818939944572442,0.4300000000000068,0.0008196721311472605,0.012398389026053403,0.0,44.2675430643699,100.54945054945054,68.65027322404372,2.4014847586061356,32.032786885245905,4.272196901644453,OK
RETANGULO,10,2025-05-13 08:58:31/09:36:53,100.0,0.001073170731708976,0.05593080031360924,0.4000000000000057,0.0007317073170728167,0.01275528416114534,0.0,43.94439617723719,100.49019607843137,68.51219512195122,2.38789791078451,32.90731707317073,4.105973066818921,OK
